value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.005347386933863163,0.10817220062017441,0.20302355289459229,-0.026170318946242332,0.9814703464508057,-0.0700768232345581,0.08217090368270874,-0.16376394033432007,4.510226726531982,0.2008500099182129,0
0.18618257343769073,-27.64666175842285,-0.6664063334465027,-36.69105911254883,0.8839014172554016,-28.326045989990234,-0.3594367504119873,-37.271026611328125,10.148369789123535,0.03879677504301071,10000
0.2852233648300171,-29.107837677001953,2.2216672897338867,-45.93312454223633,1.1874547004699707,-29.663623809814453,1.040805697441101,-46.030364990234375,6.306295871734619,0.026523511856794357,20000
0.2705923914909363,-30.550857543945312,-0.15138953924179077,-45.86579895019531,0.8119519352912903,-30.872028350830078,0.0418739914894104,-46.665008544921875,6.677634239196777,0.02277720347046852,30000
0.3804219365119934,-29.91649627685547,1.2641561031341553,-46.82884216308594,0.5328975319862366,-30.63045310974121,0.535850465297699,-47.01756286621094,7.898506164550781,0.02460860274732113,40000
0.8994048833847046,-30.763975143432617,0.40558168292045593,-47.334266662597656,0.8070305585861206,-31.356098175048828,0.248070627450943,-47.92784118652344,14.134090423583984,0.025334853678941727,50000
0.3058265149593353,-32.367496490478516,0.08429428935050964,-47.484535217285156,0.7750458717346191,-32.57648468017578,0.2538546621799469,-47.50857925415039,14.729272842407227,0.031128650531172752,60000
0.4964573085308075,-31.292762756347656,0.8895363807678223,-47.81055450439453,1.435671091079712,-31.639196395874023,0.24710512161254883,-47.91571807861328,12.292134284973145,0.029996264725923538,70000
0.23337455093860626,-31.547462463378906,0.5118594169616699,-47.75788879394531,0.8516474962234497,-31.934844970703125,0.13626456260681152,-47.93852996826172,5.357563018798828,0.03592531755566597,80000
0.6026800870895386,-32.67921447753906,0.22687923908233643,-47.933143615722656,0.40632861852645874,-33.51811218261719,0.2629414200782776,-48.64939498901367,13.345751762390137,0.03256199508905411,90000
0.5511209964752197,-32.26936340332031,0.5670835971832275,-48.195804595947266,0.507476806640625,-33.128578186035156,0.13125061988830566,-48.689449310302734,10.049415588378906,0.032056331634521484,100000
0.6914849281311035,-32.46874237060547,0.5664040446281433,-47.60899353027344,0.8566077947616577,-33.28084945678711,0.4476894736289978,-47.873802185058594,7.779232025146484,0.03397384658455849,110000
0.5286956429481506,-32.80112838745117,0.25672584772109985,-47.90906524658203,0.9874962568283081,-33.41744613647461,0.3517059087753296,-48.14865493774414,9.273661613464355,0.03745879977941513,120000
0.6259096264839172,-33.38376998901367,-0.0023320913314819336,-48.4114990234375,0.8346021175384521,-33.846405029296875,0.2153066098690033,-48.583953857421875,20.000873565673828,0.03119492158293724,130000
0.7151570320129395,-32.57526397705078,0.21854448318481445,-48.23350143432617,0.42136749625205994,-33.377872467041016,0.20597338676452637,-48.65511703491211,10.6668701171875,0.02868456020951271,140000
0.6749650239944458,-33.46232604980469,0.14582359790802002,-48.32514190673828,0.5726250410079956,-34.2427978515625,0.14205312728881836,-48.73019027709961,16.55425262451172,0.029447967186570168,150000
0.48664048314094543,-33.32574462890625,0.2673439383506775,-48.66518783569336,0.8705498576164246,-33.886749267578125,0.07278841733932495,-48.83757019042969,13.883331298828125,0.029747432097792625,160000
0.572089672088623,-31.721105575561523,0.6018410325050354,-48.255733489990234,0.6053340435028076,-32.34956359863281,0.3748543858528137,-48.39378356933594,9.445344924926758,0.025020549073815346,170000
0.7156156301498413,-31.96127700805664,0.18845176696777344,-48.1815299987793,1.2330189943313599,-32.469200134277344,0.3534345030784607,-48.18376922607422,11.525736808776855,0.02284890040755272,180000
0.5269542336463928,-34.01766586303711,0.3059730529785156,-48.66754913330078,0.3450903594493866,-34.555091857910156,0.2808755040168762,-48.837181091308594,12.624061584472656,0.029392492026090622,190000
1.5394335985183716,-33.4731559753418,0.11444616317749023,-48.70172882080078,1.383527159690857,-34.200042724609375,0.03577965497970581,-48.66780090332031,11.706195831298828,0.027370786294341087,200000
0.6476831436157227,-33.33489227294922,0.6901359558105469,-48.251914978027344,1.2450356483459473,-34.131587982177734,0.24836593866348267,-48.70576858520508,4.359328746795654,0.025836369022727013,210000
0.8539233803749084,-33.3502197265625,0.18674755096435547,-48.22392654418945,0.8682622909545898,-34.13373565673828,-0.08463466167449951,-48.46800994873047,10.478425979614258,0.026613062247633934,220000
0.5049511790275574,-33.63331985473633,0.1651625633239746,-48.772438049316406,1.3457887172698975,-34.16365051269531,0.3583241105079651,-48.66482162475586,12.322245597839355,0.029181022197008133,230000
0.6131108403205872,-32.94287109375,0.4033898115158081,-48.86507034301758,0.7063697576522827,-34.15442657470703,0.0718299150466919,-49.54132080078125,3.472978115081787,0.029412925243377686,240000
0.38874343037605286,-33.97091293334961,0.3102409839630127,-48.86145782470703,0.7496432065963745,-34.42546844482422,0.16101151704788208,-49.13629150390625,10.079744338989258,0.024752318859100342,250000
0.3670841157436371,-32.9898567199707,0.3951878547668457,-48.45633316040039,0.5993991494178772,-33.524749755859375,0.010749459266662598,-49.087005615234375,11.082011222839355,0.02598739042878151,260000
0.3945162296295166,-33.766300201416016,0.6533631086349487,-49.18643569946289,0.3858993649482727,-34.261287689208984,0.2648226022720337,-49.18376159667969,7.237000465393066,0.028433512896299362,270000
0.6537180542945862,-34.06407165527344,-0.07371389865875244,-48.935340881347656,0.7504698038101196,-34.80353927612305,0.124092698097229,-49.070396423339844,12.933034896850586,0.030369916930794716,280000
0.5212286710739136,-34.790382385253906,0.628732442855835,-49.27471923828125,0.9055086374282837,-34.91171646118164,0.29580217599868774,-49.309654235839844,21.28434181213379,0.02875581383705139,290000
0.5660743713378906,-33.673309326171875,0.4352955222129822,-48.745994567871094,0.37484073638916016,-34.12517547607422,0.17662513256072998,-49.25016403198242,12.960089683532715,0.021610267460346222,300000
0.7306277751922607,-34.42009735107422,0.5826478004455566,-48.782981872558594,0.4402989149093628,-35.05917739868164,0.35275471210479736,-49.19462585449219,8.236008644104004,0.027591198682785034,310000
0.7127500772476196,-35.26511764526367,0.18929791450500488,-49.58076095581055,0.6345943212509155,-35.92860412597656,0.15231722593307495,-49.832427978515625,14.8363618850708,0.0253914687782526,320000
0.4585529565811157,-33.872188568115234,0.7204719185829163,-49.45563507080078,0.32531124353408813,-34.352149963378906,0.2979746460914612,-49.857418060302734,8.603904724121094,0.03159303218126297,330000
0.6657446622848511,-34.454742431640625,0.3121531009674072,-49.47088623046875,0.6886769533157349,-35.1001091003418,0.23080754280090332,-49.76753234863281,15.784886360168457,0.025353550910949707,340000
0.5180073380470276,-35.399452209472656,0.26186835765838623,-49.830116271972656,0.5614596605300903,-35.81153106689453,0.449834406375885,-49.81037902832031,10.483316421508789,0.03076847828924656,350000
0.4533535838127136,-34.22199249267578,0.5113047361373901,-49.32787322998047,1.0255600214004517,-34.446678161621094,0.2551403045654297,-49.71050262451172,7.589118480682373,0.02397584170103073,360000
